,float,int,str,other
maxheight,244.0,72.0,0.0,56.0
maxlength,2.0,23.0,0.0,0.0
maxspeed,0.0,13255.0,0.0,189.0
maxstay,1.0,2.0,0.0,24.0
maxweight,368.0,162.0,0.0,5.0
maxwidth,67.0,23.0,0.0,0.0
meat,0.0,0.0,0.0,1.0
medical,0.0,0.0,0.0,1.0
member_of,0.0,0.0,0.0,4.0
memorial,0.0,0.0,0.0,20.0
microbrewery,0.0,0.0,0.0,6.0
milestone_type,0.0,0.0,0.0,12.0
military,0.0,0.0,0.0,3.0
min_age,0.0,5.0,0.0,0.0
min_height,9.0,89.0,0.0,0.0
min_level,0.0,1.0,0.0,0.0
mineshaft_type,0.0,0.0,0.0,1.0
mobile,0.0,1.0,0.0,0.0
mobile_phone,0.0,0.0,0.0,2.0
monument,0.0,0.0,0.0,1.0
mooring,0.0,0.0,0.0,2.0
motor_vehicle,0.0,0.0,0.0,1999.0
motorboat,0.0,0.0,0.0,11.0
motorcar,0.0,0.0,0.0,1994.0
motorcycle,0.0,0.0,0.0,289.0
motorroad,0.0,0.0,0.0,40.0
movable,0.0,0.0,0.0,11.0
moved,0.0,0.0,0.0,16.0
mtb,0.0,0.0,0.0,221.0
museum,0.0,0.0,0.0,2.0
music,0.0,0.0,0.0,1.0
name,0.0,276.0,0.0,37211.0
name_1,0.0,0.0,0.0,1.0
name_short,0.0,0.0,0.0,3.0
narrow,0.0,0.0,0.0,1.0
nat,0.0,0.0,0.0,1.0
nat_name,0.0,0.0,0.0,1.0
natural,0.0,0.0,0.0,8908.0
natural_protection,0.0,0.0,0.0,1.0
nature,0.0,0.0,0.0,1.0
naturism,0.0,0.0,0.0,2.0
ncn_ref,0.0,0.0,0.0,4.0
net,0.0,0.0,0.0,1.0
network,0.0,0.0,0.0,360.0
night_turn_off,0.0,0.0,0.0,15.0
node_refs,0.0,0.0,0.0,209522.0
noexit,0.0,0.0,0.0,769.0
noise_barrier,0.0,0.0,0.0,5.0
noname,0.0,0.0,0.0,19.0
note,0.0,6.0,0.0,2686.0
note2,0.0,0.0,0.0,1.0
nudism,0.0,0.0,0.0,2.0
obsolete_boundary,0.0,0.0,0.0,1.0
obstacle,0.0,0.0,0.0,14.0
obstacle_name,0.0,0.0,0.0,10.0
odbl,0.0,0.0,0.0,1.0
office,0.0,0.0,0.0,377.0
official_name,0.0,0.0,0.0,6.0
old_amenity,0.0,0.0,0.0,3.0
old_highway,0.0,0.0,0.0,1.0
old_name,0.0,0.0,0.0,306.0
old_ref,0.0,0.0,0.0,6.0
oneway,0.0,77.0,0.0,6134.0
onkz,0.0,23.0,0.0,0.0
opening_hours,0.0,0.0,0.0,2800.0
operating_hours,0.0,0.0,0.0,1.0
operator,0.0,0.0,0.0,7300.0
organic,0.0,0.0,0.0,20.0
origin,0.0,0.0,0.0,3.0
outdoor_area,0.0,0.0,0.0,1.0
outdoor_seating,0.0,0.0,0.0,53.0
overtaking,0.0,0.0,0.0,3.0
owner,0.0,0.0,0.0,1.0
park_ride,0.0,0.0,0.0,193.0
parking,0.0,0.0,0.0,1406.0
parking_space,0.0,0.0,0.0,1.0
parts,0.0,0.0,0.0,6.0
passenger_lines,0.0,534.0,0.0,0.0
passengers,0.0,1.0,0.0,0.0
passing_places,0.0,0.0,0.0,4.0
pathtype,0.0,0.0,0.0,28.0
payment,0.0,0.0,0.0,10.0
permanent,0.0,0.0,0.0,1.0
pets,0.0,0.0,0.0,6.0
phases,0.0,2.0,0.0,0.0
phone,2.0,10.0,0.0,2045.0
photo,0.0,0.0,0.0,8.0
pipeline,0.0,0.0,0.0,57.0
place,0.0,0.0,0.0,305.0
placement,0.0,0.0,0.0,114.0
plant,0.0,0.0,0.0,1.0
platforms,0.0,1.0,0.0,0.0
playground,0.0,0.0,0.0,141.0
playground_1,0.0,0.0,0.0,1.0
playground_2,0.0,0.0,0.0,1.0
pole,0.0,0.0,0.0,2.0
population,0.0,14.0,0.0,0.0
position,0.0,0.0,0.0,1.0
postal_code,0.0,4447.0,0.0,1.0
power,0.0,0.0,0.0,3970.0
power_supply,0.0,0.0,0.0,3.0
presence,0.0,0.0,0.0,1.0
priority_road,0.0,0.0,0.0,2.0
prison_camp,0.0,0.0,0.0,1.0
proposed,0.0,0.0,0.0,16.0
protected,0.0,0.0,0.0,1.0
protected_area,0.0,0.0,0.0,1.0
psv,0.0,0.0,0.0,236.0
public_transport,0.0,0.0,0.0,4060.0
pump,0.0,0.0,0.0,2.0
rack,0.0,0.0,0.0,62.0
radar_reflector,0.0,0.0,0.0,11.0
railway,0.0,0.0,0.0,7309.0
raised,0.0,0.0,0.0,2.0
ramp,0.0,0.0,0.0,67.0
rating,0.0,0.0,0.0,1.0
razed,0.0,0.0,0.0,3.0
recording,0.0,0.0,0.0,2.0
recycling_type,0.0,0.0,0.0,375.0
ref,0.0,2849.0,0.0,4510.0
ref_ft,0.0,0.0,0.0,3.0
ref_name,0.0,0.0,0.0,16.0
reg_name,0.0,0.0,0.0,100.0
religion,0.0,0.0,0.0,211.0
render,0.0,0.0,0.0,13.0
rental,0.0,0.0,0.0,9.0
repair,0.0,0.0,0.0,6.0
research_institution,0.0,0.0,0.0,3.0
reservoir_type,0.0,0.0,0.0,18.0
resource,0.0,0.0,0.0,5.0
restaurant,0.0,0.0,0.0,3.0
road,0.0,0.0,0.0,2.0
roof,0.0,0.0,0.0,6.0
rooms,0.0,6.0,0.0,0.0
route,0.0,0.0,0.0,6.0
ruin,0.0,0.0,0.0,2.0
ruins,0.0,0.0,0.0,53.0
sac_scale,0.0,0.0,0.0,106.0
safety_inspection,0.0,0.0,0.0,4.0
sale,0.0,0.0,0.0,6.0
sauna,0.0,0.0,0.0,1.0
sausage,0.0,0.0,0.0,1.0
school,0.0,0.0,0.0,2.0
school_type,0.0,0.0,0.0,4.0
scooter,0.0,0.0,0.0,1.0
seamark,0.0,0.0,0.0,61.0
